State,Total Population,Adult Population,Adult Population Percentage
.Alabama,5157699,4022842,78
.Alaska,740133,565186,76.4
.Arizona,7582384,5994209,79.1
.Arkansas,3088354,2386510,77.3
.California,39431263,31012711,78.7
.Colorado,5957493,4744328,79.6
.Connecticut,3675069,2947242,80.2
.Delaware,1051917,838204,79.7
.District of Columbia,702250,572419,81.5
.Florida,23372215,18872523,80.7
.Georgia,11180878,8640127,77.3
.Hawaii,1446146,1152797,79.7
.Idaho,2001619,1533172,76.6
.Illinois,12710158,10012697,78.8
.Indiana,6924275,5338189,77.1
.Iowa,3241488,2510913,77.5
.Kansas,2970606,2278027,76.7
.Kentucky,4588372,3562700,77.6
.Louisiana,4597740,3531346,76.8
.Maine,1405012,1157930,82.4
.Maryland,6263220,4891983,78.1
.Massachusetts,7136171,5780452,81
.Michigan,10140459,8031116,79.2
.Minnesota,5793151,4494094,77.6
.Mississippi,2943045,2268423,77.1
.Missouri,6245466,4873374,78
.Montana,1137233,904578,79.5
.Nebraska,2005465,1521153,75.9
.Nevada,3267467,2579031,78.9
.New Hampshire,1409032,1159668,82.3
.New Jersey,9500851,7455868,78.5
.New Mexico,2130256,1682353,79
.New York,19867248,15884969,80
.North Carolina,11046024,8685722,78.6
.North Dakota,796568,611305,76.7
.Ohio,11883304,9308934,78.3
.Oklahoma,4095393,3129179,76.4
.Oregon,4272371,3446156,80.7
.Pennsylvania,13078751,10448930,79.9
.Rhode Island,1112308,907717,81.6
.South Carolina,5478831,4326760,79
.South Dakota,924669,703963,76.1
.Tennessee,7227750,5645233,78.1
.Texas,31290831,23625608,75.5
.Utah,3503613,2569984,73.4
.Vermont,648493,535519,82.6
.Virginia,8811195,6927764,78.6
.Washington,7958180,6303143,79.2
.West Virginia,1769979,1421615,80.3
.Wisconsin,5960975,4719976,79.2
.Wyoming,587618,459626,78.2
